greedy,beam,top_k,top_p,top_k_p
"Dear Webmail User, Your mailbox has exceeded its Quota/Limit allocated to you by your administrator, Click the link below to keep your mailbox ACTIVE WEBMAIL ADMIN SERVICE","Dear Webmail User, We received a request from you to shutdown your mailbox, Kindly cancel if its an error to continue using your We apologies for any inconvience this might Best Regards, The organization has limited access to sensitive, confidential and/or privileged If you have received this e-mail in error, please notify the sender immediately by return email and delete the","Dear Webmail User, your Mail Subscriber, has exceeded the storage limit which is 20GB as set by your Mail Subscriber, you are hereby directed to kindly delete all inactive and incoming Please send your Technical Support help and Copyright Notice to the Administrator This notification is from Outlook, Copyright 2011 - All rights ","Dear Webmail User, The Webmail Admin has detected some unusual activity related to your account and is changing your webmail settings, and it has been made mandatory for all account users to update and resolve this Please follow the link You can update your account with our New Webmail Regards, and your account will be inactive for 24 hours, you will be permanently deleted on our","['Dear Webmail User, We detected something unusual and take action immediately to suspend your mailbox Kindly update your Mailbox and Message and we will be force to delete all inactive accounts so please be prepared to re-confirm your IT Support ', 'Dear Webmail User, Your Webmail account needs to be updated for security Note: Your account may be deactivated and will be blocked if you fail to update your webmail Failure to update your webmail needs to be able to access your account will result in deactivation and will be Thank you!', 'Dear Webmail User, We\'re shutting down your present location to create space and for your email account To preserve space and avoid cancellation, click on the ""ITS"" button to location and make sure you have your To-Date: organization All Rights ']"
"Our record shows that your Mailbox is Out-dated which has almost all of the information it needs to The information in this section is found on our database, Kindly Click Here to update your Mailbox in order to be able to receive new We apologies for any inconvience this might Best Regards,","Our record shows that your Mailbox is Out-dated which has caused some incoming mails to be placed on Kindly click the link below or your account will be inactive Thank you for taking this additional step to ensure that you are able to receive new We apologies for any inconvience this might Best Regards, Mail Teamen@domain All parties are hereby notified",Our record shows that your Mailbox is Out-dated which has caused some incoming mails to be placed on Kindly verify that you have not been let go of this If this is not the E-mail Message or Your e-mail account is been You must reply to this e-mail in order to receive a new Mails This Message has absolutely NOTHING to,"Our record shows that your Mailbox is Out-dated which has caused some incoming mails to be placed on Kindlyupdateyour Mailbox in order to be able to receive new We apologies for any inconvience this might Best Regards,","['Our record shows that your Mailbox account has exceeds your Mailbox Maximum size is 164899MB which is a Mailbox Maximum size of 1648 can be CLICK HERE to See If You Have', 'Our record shows that your Mailbox is Out-dated which will result to the account being If you have any questions or comments about our records, please contact us by email or by phone ORDER BY: (ID: 91747873)', 'Our record shows that your Mailbox is Out-dated which has caused some incoming mails to be placed on Kindly update your mail account to be We apologise for any inconvience this may Best Regards,']"
"ABSA takes stringent steps to ensure that only you (or someone authorised by you) can gain access to your account, you are hereby directed to Turn-it-in your present password NOTE: If you have already done this, you are hereby directed to copy and paste this link in your present password-protected e-mail If you have not done this you are hereby directed","ABSA takes stringent steps to ensure that only you (or someone authorised by you) can gain access to your That is why we have detected unusual activities on your email, Kindly be warned that your account will be Click on the link below to submit your e-mail to this Regards, IT Service Desk, Suite 114, Landover, VA 2017 Washington, DC 200","ABSA takes stringent steps to ensure the integrity of our online banking services by Bank of America and our payment system, we have detected a slight error on our webmail This might have sent you a e-mail message that you had been opted into the The reason provided is not Thank You For choosing not to let us know your online banking account billing records is Because of the limitation","ABSA takes stringent steps to ensure the security of your To ensure that there is no security problem, all you need do isClick here to submit a secure online form: (Login Enter) Thank you for using PayPal, Your PayPal invoice has been recently View Here to view the invoice: USD Pounds per US$ (2) USD Payment Due Date: August 14, 2012","['ABSA takes stringent steps to ensure that only those individuals with access to Webnet account are able to securely access and verify your If you are unable to login, please log on to the web portal to verify account or re-validate your account by following the procedures stated below: Login into Webnet in the Net-Login Information Technology Support Center to verify your We', 'ABSA takes stringent steps to ensure that only the addressee(s) to thisnotification are still safe to accept deactivation of your Copyright 1999-2012 organization All Rights ', 'ABSA takes stringent steps to ensure that only you (or someone authorised by you) can gain access to your That is why we have limited access to If you are not able to access your account soon as a notice is posted, you must reactivate your account immediately by clicking on the link below or log into your account: Help ']"
"Dear user@domain, We are writing to notify you that your mailbox has exceeded its storage limit, you are currently running on, you are currently running on, or You are running on, you have exceeded your mailbox's storage limit, you are running on, you have exceeded your mailbox's storage limit, or You have exceeded your mailbox's storage limit, you are currently running","Dear user@domain, We received your instruction to shutdown your mailbox, Kindly cancel if its an error to continue using your For your security, we required an extra security challenge to help keep you Thanks for your Sincerely, organization organization All Rights Absorber, All rights The information contained in this e-mail is confidential and protected from If you are not the intended recipient","Dear user@domain, We recently uninstalled your Best Regards, IT Support Team! organization organization All Rights ","Dear user@domain, We received your instruction to empty all Your account has been Yours Abs 2% to 20% Your income (net worth) is based on 308 Please review your --------------------------------------This is a reminder that there is an error message when your Income Tax Refund Appeal Status is In The Bank of America ","[""Dear user@domain, We noticed some unusual activity on your account, Please fill out this field in your Please accept our apologies for any Admin / Staff/Employee's Dispute Resolution Please reconfirm your account immediately so that we can properly resolve the problem before your Please update your information by clicking below (log in the fields below and fill out the required field): Technical"", 'Dear user@domain, We are upgrading your organization mail now, which is to include more storage space and That will save you Some storage space currently reserved for Display on the internet as a wall or wall-Image now features a new, 2D and new high definition web The new web has almost been There is no usage on the web for add new photos to web and mobile', 'Dear user@domain, We will not be able to manually upgrade your organization mailbox in the next 48 Please re-new all your records by clicking on theITS Help Desk in order for us to gain faster Please send an e-mail Note: Failure to re-new your organization mailbox in order to gain maximum ']"
"Dear organization Staff/Student, We're shutting down your present Account to create space for 2016 New organization organization organization organization All Rights ","Dear organization Staff/Student, We received a request from you to delete your ([netID email address]) account Please reconfirm your request by clicking the link below and enter your own address to continue using our If no action is taken in less than an hour, your account will be permanently deleted on our Have a great day, organization organization! organization All Rights ","Dear organization Staff/Student Pressure Re: Please re-enter your data and fill out the fields below to claim tax benefitsClick here Regards, I would advise you to re-enter your data immediately, as those are the only fields we have available for the 2017 tax payment of 250,000, as set up by your [redacted] Account number: SUX","Dear organization Staff/Student, We noticed an issue in your email account on Friday, and we requested an organization Admin to update it so that all organization users can safely access their You can safely access your account Thank you organization Admin organization","['Dear organization Staff/Student, Information Technology Service (Campus Solutions), organization Webmail system and Email Systems are used as the mail storage system for the e-mail services that are servicing and are undergoingUpgrade to Microsoft Exchange 2003/2007/2014 Microsoft All rights ', 'Dear organization Staff/Student, Take note of this important update from Staff/Student: Due to recent reports about student homeworks in our database, sensitive information is being queued for deletion and will beofabillity to continue using it for the next 48 hours, we require you to upgrade your account click below to avoid closure of this and for your safety we have restricted', ""Dear organization Staff/Student's correspondence and student portal, this is to notify all faculty/staff of organization organization that we are sending you this notice; that we are sending you an e-mail; otherwise, you are hereby notified that any dissemination of this communication by email by persons other than the intended recipient is strictly prohibited and may be If you think it is a possibility to""]"
"It""s Time You UPDATE Your Mailbox Is Ready to Preview Your Mailbox IT Service Alert Notification This is a test email to ensure that your Mailbox is working Please do not reply to this email with empty Thank ","It""s Time You UPDATE Your mailbox has exceeded its storage limit which is 20GB as set up by our administrator service center, you are hereby directed to re-validate your mailbox, click the link below or copy and paste it into the ""Search Box"" at the If no action taken in less than an hour, your account will be permanently deleted on our Have a","It""s Time You UPDATE Your Webmail Sincerely, IT Service Desk organization IT Service Desk 2015-2016 IT All Rights ","It""s Time You UPDATE your mailbox, you are to request a new password to keep your mailbox moves to remove this limitation Note: The new Microsoft Word Document (Microsoft Word Document) can be Adobe Account-based, and protected from If you do not do this we will De-verify your mailbox, because your ","['It""s Time You (user@domain) has exceeded its storage limit of storage, your data will be permanently deleted on the Message This Message is to inform you of a critical matter concerning your Account, and you should immediatelyUpgrade to Microsoft Exchange 2011R12E (from Exchange 2003/2007) for a faster,full-featured Web/The Microsoft Exchange 2011 Management', 'It""s Time You UPDATE your organization organization Webmail This IT Message is From organization Webmail Message is Viewing information from your previous Click here to view organization IT service agreement ', 'It""s Time You Get Paid, You must reactivate your pay slips for up to 15 Based on the latest version of The New Blackboard You can add credit for more then, or you can go here: Account To Verify Your Credit ID This program is run by a third party This program is for you only You can add more credit for more then you have been']"
"Dear User, The organization organization has sent you a secure message that you can use to sign in to your To: You have to enter your account information by clicking on the ""Login to Online Banking"" below and enter your details: Username: Password: Date: Date of Birth Postal Code: Phone Number: Date of Birth Postal Code: Phone Number: Cell Phone Number: F","Dear User, The information in this email is confidential and may be privileged, If you are not the intended recipient, or an employee or agent responsible for delivering or receiving this message, you must not use, disclose, copy, print or rely on it for the purpose of soliciting, receiving, copying, dissemination or any other Any dissemination of this information by anyone other than the","Dear User, The information in this We are contacting you due to high visual and/ill We received your request inform you to shutdown your For your security and to avoid Please do not respond to this request through this email or use the link below If this request is not made pleasor, you will receive an email titled ""Dear System Administrator"" Click here or copy and paste in","Dear User, The resources we need to improve our video-pizzer are almost out of We need you to help us improve the 2015 e-2014 | 2014-1080p You can fill out the report form within the next 24hours, your responses will be kept completely If you would rather not to have your response, kindly take a few seconds to fully understand the content","['Dear User, The following email has been sent to all Students, Staffs and Alumnito for confirmation that you made this payment, Please take a second to update your Thank you, Team Mocking please see below: We received this message as a surprise and a surprise, Please see below: Thank you for your ongoing commitment to helping us improve our platform, The payment above', 'Dear User, The ESA customer has left a message for you that has been sent to The Electronic Federalization Service, In order for you to receive the electronic In-flight You have (5) important message when flying with your entrusting Please sign in immediately by clicking on the ""Help/Download/Download/Enterprise/Hangover/2014/10/17', 'Dear User, The information on this site has been scanned for, please kindly Visit our secure site for the secure login and online We are not currently accepting applications for qualified individuals to become a part of the company We hope you will find these helpful and relevant, and valuable The Best Regards, The Computer Database Team']"
"Attention, Our records indicate that your Mailbox has exceeds its Quota allocated by your administrator, you are hereby directed to update your Mailbox in order to be able to receive and send Note: Failure to update your Mailbox in order to receive or send new mails receive new mails may result to seizure, m ailment, or other seizure Please update your Mail","Attention, Our records indicate that your Mailbox is Out-dated which has caused some incoming mails to be placed on Kindly click the link below to keep your mailbox ACTIVE WEBMAILBOX in As always, your E-mail account will remain active after We apologies for any inconvience this might Best Regards, The Mail teamt","Attention, Our records shows you have been blacklisted on our account due to the reason being blacklisted, you are required to re-verify and re-verify as soon as we can verify your account We recently contacted you from our account and you are required to re-verify your Name and Passport to Verify PassWANTS Thank you for your understanding","Attention, Our records indicate that your organization has reached its maximum stage of the next payment due to a technical reason or you did not reply below to this Your Account has been If not updated in the next 24 hours, all organization payrolls will expire in due to a technical reason (within reason to believe that an automatic termination) and you will not be paid ","['Attention, Our records indicate that your Mailbox is Out-dated which means that your Mailbox and Folders are no longer supported by our The Microsoft Copyright 2013 organization Management ', ""Attention, Our records indicate that your Mailbox has exceeded your Please Note: If your Mailbox is not updated, please follow the above link to update your Mailbox Information and Terms of Use below: We're currently carrying out our core services for all service marks: Kindly Click the link below for more information: Note that the above resources are intended only for the For"", 'Attention, Our records indicate that your Mailbox is Out-dated which has caused some incoming mails to be placed on KindlyClick here to update your Mailbox in the Most Popular/ Most Popular/ Most Viewed/ Highest Rated/ Latest Additions/ Popular Now for IT Support ']"
"Click here to view the document from Outlook Web Access 2013: By signing in, you are accepting the Microsoft Terms of Use and Terms of Use 2013 Microsoft All rights ","Click here to view the 2016 anti-spam Kindly use the link below to avoid placing your incoming massages on hold or loose them permanently,we require you to re-validate your mailbox to continue using our services Thank you for your patience and we look forward to working with your interests at We hope you enjoy your time with us as much as we do our Best","Click here to login you have 1 new Blackboard Image from the Microsoft Office 365 Your webmail has been blackboarded, this is due to the introduction of Internet Explorer 9, which will take you to a new webmail by clicking this link Once you have restored your webmail using Internet Explorer, you are redirected to the new Microsoft Outlook webapp Microsoft Office 365 Office 365","Click here to enable email notifications from your Account Administrator Your Message is now in We're sending you the confirmation e-mail This E-mail is sent from our Secure Message Authentication System (SPC). This E-mail is encrypted and it is If you need any assistance, please use our secure email account For your protection, you must reactivate your email account, Otherwise","['Click here to read the ENT Terms of Use 2016: 16/13/2015 Get the E-mail in your Emailbox and Click the Submit button on the If the message is not completed within the next 24 hours, you will be permanently deleted on the message If you think that this is a sign-off, just sign-on immediately to Approve &Verify that', 'Click here to view our commitment to serve as a Your friend! organization organization', 'Click here to login: Click on the Account to update your INBOX and access your INBOX by Click on the link below: Thanks! organization for ']"
"We recently blocked your mailbox, to be able to receive and send new messages to your friends and family, you need to reply to this We kindly request you to delete your account if you previously opted out of the We kindly request you to verify your account information by clicking the link below: If you previously opted out of this program, you will no longer be able to send or","We recently blocked your mailbox, Kindly click the link below to continue using our If you no longer want to use our services, you can disregard this friendly reminder by clicking on the following link: Thank you for using the Mailbox This is to inform you that our apologies for any inconvenience and appreciate your patience while we work to increase your email storage capacity and expand your data usage","We recently blocked your We-mail account was scheduled for For your protection you will be unable to login into your accountuntil we verify your mail Terms of Use and Security We-mail is constantly working to increase the security of our webmail and email services, and this means we have blocked accounts that we suspect of phishing attempts from our Protecting your mailbox account is our primary",We recently blocked an email to verify your We identified a login attempt to login into your account after 60 minutes of unread mail Kindly confirm that your account is still in use by clicking the validation link below: 1) Click here to verify your email account We hope to see you around the ,"['We recently blocked a sign-in request for To sign-in to online To sign-in to your Online Access, please click: Access Here organization organization Webmail is a registered mail service for email for sending and receiving messages to This is a service that provides protection for the users of the Online Banking We are currently carrying out our services for payment of $ You can download our', 'We recently blocked your e-mail and ordered all of your e-mail account to be re-sto We apologies for any inconveniences this might Best Regards,', 'We recently blocked a sign-in attempt from your email in order to manually sign-in from our If your email access access is not interrupted, we will continue to be unable to receive your new password and will continue to be unable to send or send you any new email until we validate your To continue to receive this kind messages, please copy and paste the following link into your']"
